title,link,occupation,companie,spec,location
Data Entry Specialist,https://wuzzuf.net/jobs/p/x7mawvoh9xzg-data-entry-specialist-red-coral-cairo-egypt,Full TimeOn-site,Red Coral -,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Administration · Customer Service/Support · Analyst/Research · Microsoft Excel · Customer Service · Data Entry · Data Analysis,"Cairo, Egypt "
Data Scientist,https://wuzzuf.net/jobs/p/rdal4e1kn3ch-data-scientist-cairo-egypt,Full TimeRemote,Confidential -,Full TimeRemoteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Machine Learning · Python · Statistical Modeling · R · 3D Imaging · Medical Imaging · Data Visualization,"Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/zb0s8o5r59sy-data-analyst-arma-hsa-cairo-egypt,Full TimeOn-site,Arma-HSA -,Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Data Visualization · SQL · Python · Power BI · Problem Solving · Excel · Statistical Analysis · Reporting,"Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/ejishba4vug8-data-analyst-idc-cairo-egypt,Full TimeHybrid,IDC -,Full TimeHybridEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Market Research · Microsoft Excel · Power BI · Tableau,"Cairo, Egypt "
Circuit Analysis Engineer (Fuji Line),https://wuzzuf.net/jobs/p/slylcnlwnbk5-circuit-analysis-engineer-fuji-line-etisal-for-advanced-industries-giza-egypt,Full TimeOn-site,etisal for advanced industries  -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Analyst/Research · Engineering - Mechanical/Electrical · Fuji SMT equipment operation · SMT circuit analysis · Process optimization · Root cause analysis,"6th of October, Giza, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/rxv6ezyr8alr-data-analyst-idc-cairo-egypt,Full TimeHybrid,IDC -,Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Microsoft Excel · Power BI · SQL · Tableau · Python · AI · Data Analysis · Data Analytics,"Cairo, Egypt "
Business Planning & Performance Analysis,https://wuzzuf.net/jobs/p/inxwq1g6onet-business-planning-performance-analysis-zerocarbon-cairo-egypt,Full TimeOn-site,ZeroCarbon  -,Full TimeOn-siteExperienced · 1 - 6 Yrs of Exp · Administration · Business Development · Business Planning · Business Administration · Finance · Financial Analysis · Management · Budgeting · Planning · Analysis,"Cairo, Egypt "
Commercial Specialist (Data Analyst),https://wuzzuf.net/jobs/p/lkxgtf5nuyo1-commercial-specialist-data-analyst-oppo-egypt-cairo-egypt,Full TimeOn-site,OPPO Egypt  -,Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Analyst/Research · Sales/Retail · Accounting · Finance · Invoices · Auditing · Selling Database · Selling Volume · Analyst · Commerce,"Nasr City, Cairo, Egypt "
Control Tower (Data Analyst),https://wuzzuf.net/jobs/p/qxlevwlpot09-control-tower-data-analyst-seoudi-supermarket-giza-egypt,Full TimeOn-site,Seoudi Supermarket -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Analyst · analytical · Data · Data Analyst · Finance · Data Analysis · Analysis,"Giza, Egypt "
Planning and Financial analysis Manager,https://wuzzuf.net/jobs/p/g8u75qhatoiq-planning-and-financial-analysis-manager-elabd-foods-giza-egypt,Full TimeOn-site,Elabd Foods -,Full TimeOn-siteManager · 13+ Yrs of Exp · Accounting/Finance · Financial Reporting · Forecasting · Strategic Planning · Communication · Team Collaboration · Data Analysis · Financial Analysis · Microsoft Excel · Budgeting,"Abu Rawash, Giza, Egypt "
Business Data Analyst,https://wuzzuf.net/jobs/p/tym1dyyj5cjs-business-data-analyst-enaya-care-international-company-for-beauty-comfort-cairo-egypt,Full TimeRemote,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT -,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Business Intelligence · Data Visualization · SQL · Statistical Analysis · Communication · Market Research,"Cairo, Egypt "
Financial Analysis & Budgeting,https://wuzzuf.net/jobs/p/82wc7kqdz6pw-financial-analysis-budgeting-macro-group-cairo-egypt,Full TimeOn-site,Macro Group -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Accounting · Analysis · Commerce · Corporate Finance · Financial Forecasting · Forecasting · Financial,"Sheraton, Cairo, Egypt "
Operational Analyst,https://wuzzuf.net/jobs/p/gg5wwqortdg6-operational-analyst-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · Operations/Management · Operational analysis · Data analytics · Power BI · Tableau,"Giza, Egypt "
Sales Analyst,https://wuzzuf.net/jobs/p/i6kusmp93lwb-sales-analyst-noodles-park-cairo-egypt,Full TimeOn-site,Noodles Park -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · females_only · Analyst/Research · Sales/Retail · Sales Analysis · Microsoft Excel · Statistical Analysis · Market Research · Reporting · Problem Solving · Communication · Data Visualization,"New Cairo, Cairo, Egypt "
CI assistant manager,https://wuzzuf.net/jobs/p/tcu4kkupq72f-ci-assistant-manager-qalubia-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 5 - 8 Yrs of Exp · Project/Program Management · Continuous Improvement · Six Sigma · Lean Manufacturing · Data Analysis · Leadership · Project Management · Process Optimization · Change Management · Communication,"Qalubia, Egypt "
Power BI Data Analyst,https://wuzzuf.net/jobs/p/kfnzzjasrwun-power-bi-data-analyst-zeina-group-giza-egypt,Full TimeOn-site,Zeina Group -,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Azure · BI · DAX · Microsoft Power BI · Power BI · Python,"Sheikh Zayed, Giza, Egypt "
Industrial Engineer,https://wuzzuf.net/jobs/p/q5k0vcto7qzw-industrial-engineer-solotex-sharqia-egypt,Full TimeOn-site,Solotex -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other · Process Optimization · Six Sigma · Lean Manufacturing · Data Analysis · Process Simulation · Team Collaboration · Quality Assurance,"10th of Ramadan City, Sharqia, Egypt "
Assistant Financial Analyst,https://wuzzuf.net/jobs/p/ecaybspgjokl-assistant-financial-analyst-w-consultancy-cairo-egypt,Full TimeOn-site,W.Consultancy -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Financial Reporting · Budgeting and Forecasting · Excel and Financial Modeling · Analytical Thinking · Team Collaboration · Communication · Time Management,"Maadi, Cairo, Egypt "
Financial Planning & Analysis Manager,https://wuzzuf.net/jobs/p/u7oug9tnc5jv-financial-planning-analysis-manager-your-parts-cairo-egypt,Full TimeOn-site,Your Parts -,Full TimeOn-siteManager · 6 - 8 Yrs of Exp · Accounting/Finance · Analyst/Research · Financial Analysis · Budgeting · Financial Planning · Financial Reporting,"Maadi, Cairo, Egypt "
Continuous Improvement Section Head,https://wuzzuf.net/jobs/p/vyt8m5mmsj8p-continuous-improvement-section-head-sharqia-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteSenior Management · 8 - 12 Yrs of Exp · males_only · Quality · Data analysis tools · leadership and coaching · Strong analytical and problem-solving skills. · Effective communicator with cross-functional teams and suppliers · Change management and conflict resolution capability.,"10th of Ramadan City, Sharqia, Egypt "
MIS Specialist,https://wuzzuf.net/jobs/p/esaiasil5edv-mis-specialist-etisalat-egypt-cairo-egypt,Full TimeOn-site,Etisalat Egypt -,Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Analyst/Research · Data Analysis · MIS Reporting · Database Management · Data Visualization · Problem Solving · Communication · Attention to Detail · Time Management · MS Excel,"Maadi, Cairo, Egypt "
Process Improvement Section Head,https://wuzzuf.net/jobs/p/f0bxfklml4yx-process-improvement-section-head-b-tech-cairo-egypt,Full TimeOn-site,B.TECH -,Full TimeOn-siteManager · 6 - 7 Yrs of Exp · Operations/Management · Quality · Lean Six Sigma · Project Management · Data Analysis · Process Mapping · Change Management · Problem Solving · Communication · Team Leadership,"Nasr City, Cairo, Egypt "
Quality Assurance Assistant Manager,https://wuzzuf.net/jobs/p/flr3nluhuodh-quality-assurance-assistant-manager-flexfilms-egypt-suez-egypt,Full TimeOn-site,FlexFilms Egypt -,Full TimeOn-siteManager · 8+ Yrs of Exp · Manufacturing/Production · Quality · Quality Assurance · Process Improvement · Root Cause Analysis · Auditing · Regulatory Compliance · Data Analysis · Team Leadership · Problem Solving,"Ain Sokhna, Suez, Egypt "
MIS Senior Specialist..,https://wuzzuf.net/jobs/p/x0zlfwdkeyqc-mis-senior-specialist-etisalat-egypt-cairo-egypt,Full TimeOn-site,Etisalat Egypt -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Business Development · Data Analysis · Business Intelligence · Database Management · Data Visualization · Problem Solving · Attention to Detail · Reporting · Process Automation · Communication,"Maadi, Cairo, Egypt "
Purchasing Specialist,https://wuzzuf.net/jobs/p/or60x9m5xvjn-purchasing-specialist-leoni-wiring-system-egypt-s-a-e-cairo-egypt,Full TimeOn-site,LEONI Wiring System Egypt S.A.E -,Full TimeOn-siteEntry Level · 2 - 3 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Negotiation · Communication · Attention to Detail · Data Analysis · Inventory Management,"Nasr City, Cairo, Egypt "
Supply Chain Manager,https://wuzzuf.net/jobs/p/rzzazxhxwb4v-supply-chain-manager-orthohouse-for-medical-devicdes-cairo-egypt,Full TimeOn-site,Orthohouse for Medical Devicdes -,Full TimeOn-siteManager · 4 - 10 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Supply Chain Management · Logistics Coordination · Inventory Control · Vendor Management · Team Leadership · Process Improvement · Regulatory Compliance · Data Analysis,"Cairo, Egypt "
ESP Application Engineer,https://wuzzuf.net/jobs/p/6yperafuwp5c-esp-application-engineer-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering - Oil & Gas/Energy · ESP system design · Technical troubleshooting · Artificial lift optimization · Field engineering support · Team collaboration · Safety compliance · Client communication,"Cairo, Egypt "
Cost Accountant.,https://wuzzuf.net/jobs/p/vxxli7wgp3hs-cost-accountant-w-consultancy-cairo-egypt,Full TimeOn-site,W.Consultancy -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · Cost Accounting · Budgeting and Forecasting · Data Analysis · Microsoft Excel · Problem Solving · Communication,"Maadi, Cairo, Egypt "
Buyer ( Baby Wear ),https://wuzzuf.net/jobs/p/canmx4t5ejis-buyer-baby-wear-junior-tex-cairo-egypt,Full TimeOn-site,Junior-Tex -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Negotiation · Product Sourcing · Vendor Management · Market Analysis · Inventory Management · Trend Forecasting · Communication · Project Management,"Obour City, Cairo, Egypt "
Media Buyer,https://wuzzuf.net/jobs/p/9af7tlgunasy-media-buyer-remote-alexandria-egypt,Full TimeOn-site,Remote -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Digital Advertising · Media Buying · Campaign Optimization · Data Analysis · Budget Management · Facebook Ads · Reporting & Analytics,"Smouha, Alexandria, Egypt "
Internal Auditor,https://wuzzuf.net/jobs/p/76zmerudqiml-internal-auditor-abu-gemeaa-cairo-egypt,Full TimeOn-site,Abu Gemeaa -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Certified Internal Auditor (CIA) · EXPERIANCED · Microsoft Office · Financial Data Analysis,"New Cairo, Cairo, Egypt "
Planning Coordinator,https://wuzzuf.net/jobs/p/xnqyidukf16y-planning-coordinator-kama-manufacturing-sharqia-egypt,Full TimeOn-site,Kama Manufacturing -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Manufacturing/Production · Production Planning · MRP · Data Analysis · advanced excel,"10th of Ramadan City, Sharqia, Egypt "
Factory Manager – Coating Line (Non-Stick Cookware),https://wuzzuf.net/jobs/p/cxp7klcdxevj-factory-manager-coating-line-non-stick-cookware-nouval-group-cairo-egypt,Full TimeOn-site,Nouval Group -,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Production Management · Team Leadership · Non-Stick Coating Processes · Quality Assurance · Process Optimization · Health and Safety Compliance · Problem Solving · Budget Management,"Badr City, Cairo, Egypt "
MCN KOS Operation Specialist (Account Growth & Management),https://wuzzuf.net/jobs/p/tavenuyajbtr-mcn-kos-operation-specialist-account-growth-management-realme-cairo-egypt,Full TimeOn-site,realme -,"Full TimeOn-siteExperienced · 2+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Strong data analysis abilit	•	Strong data analysis ability 	•	Good knowledge of TikTok/Facebook/Instagram operation rules and growth strategies 2、Familiar with content planning, short video, and live-streaming ecosystems · Strong data analysis ability","Nasr City, Cairo, Egypt "
IOT Engineer,https://wuzzuf.net/jobs/p/sdsqwm3kdijg-iot-engineer-skarpt-company-giza-egypt,Full TimeOn-site,Skarpt Company  -,"Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · IoT System Design · Programming (Python, C/C++) · Cybersecurity Fundamentals · Technical Documentation · Network Configuration · Sensor Integration · Data Analysis","Hadayek Alahram, Giza, Egypt "
Talent Management Section Head,https://wuzzuf.net/jobs/p/b4rhs1nkswq2-talent-management-section-head-dr-greiche-sharqia-egypt,Full TimeOn-site,Dr.Greiche  -,Full TimeOn-siteSenior Management · 7 - 10 Yrs of Exp · Human Resources · Performance Management System · HRIS · OD · Talent management · Succession Planning · Recruitment · Data Analysis,"10th of Ramadan City, Sharqia, Egypt "
Production Engineer,https://wuzzuf.net/jobs/p/t773ghu8ewjl-production-engineer-original-international-for-trailers-cairo-egypt,Full TimeOn-site,Original International For trailers -,Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other · Process Optimization · Production Planning · Lean Manufacturing · Project Management · Quality Assurance · Data Analysis · Communication,"Obour City, Cairo, Egypt "
Quality manager,https://wuzzuf.net/jobs/p/taucbzxt140w-quality-manager-economic-group-qalubia-egypt,Full TimeOn-site,Economic Group  -,Full TimeOn-siteManager · 9 - 20 Yrs of Exp · males_only · IT/Software Development · Operations/Management · Quality · Quality Assurance · Root Cause Analysis · Food Safety · Communication · Problem Solving · Team Leadership · Internal Auditing,"Qaha, Qalubia, Egypt "
Production Engineer,https://wuzzuf.net/jobs/p/dyqp1mv1kcmi-production-engineer-noodles-park-sharqia-egypt,Full TimeOn-site,Noodles Park -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Manufacturing/Production · Production Planning · Data Analysis · Lean Manufacturing · Safety Compliance · Problem Solving · Process Optimization · Project Management · Team Collaboration · Quality Assurance,"Sharqia, Egypt "
Cost Control Engineer,https://wuzzuf.net/jobs/p/gzpl0he80jgp-cost-control-engineer-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 10+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Budgeting · Financial Analysis · Project Management · Microsoft Excel · Communication · ERP Systems · Data Analysis · Cost Control · Reporting,"Nasr City, Cairo, Egypt "
Education Program Officer,https://wuzzuf.net/jobs/p/wcq7z49nkh2z-education-program-officer-misr-elkheir-foundation-cairo-egypt,Full TimeOn-site,Misr Elkheir Foundation -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · males_preferred · Project/Program Management · Education/Teaching · English Education · scholarship · Administration · education program · Business Administration · ERP Software · ERP System · Client Support,"Mokattam, Cairo, Egypt "
Sales Manager,https://wuzzuf.net/jobs/p/qgyepby9t234-sales-manager-almosafer-giza-egypt,Full TimeOn-site,Almosafer -,Full TimeOn-siteManager · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · Sales · Travel · Tourism · CRM System · Management · Call Center · Call Monitoring,"Mohandessin, Giza, Egypt "
Production Manager,https://wuzzuf.net/jobs/p/3rybt8jggiv3-production-manager-bennu-sharqia-egypt,Full TimeOn-site,Bennu  -,Full TimeOn-siteManager · 8 - 15 Yrs of Exp · Operations/Management · Manufacturing/Production · Project/Program Management · Production Management · Team Leadership · Quality Assurance · Budget Management · Problem Solving · Safety Compliance · Data Analysis,"10th of Ramadan City, Sharqia, Egypt "
Senior Performance Media Buyer,https://wuzzuf.net/jobs/p/dmawra1h2zcr-senior-performance-media-buyer-universities-of-canada-in-egypt-cairo-egypt,Full TimeOn-site,Universities of Canada in Egypt -,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Performance Media Buying · Digital Advertising · Data Analysis · Budget Management,"New Capital, Cairo, Egypt "
Digital Marketing Executive,https://wuzzuf.net/jobs/p/ye2w91vltjln-digital-marketing-executive-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 5+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing Strategy · Content Creation · SEO and SEM · Social Media Management · Data Analysis · Email Marketing · Google Analytics · Project Management,"New Cairo, Cairo, Egypt "
Senior Accountant,https://wuzzuf.net/jobs/p/rs2qn7zn9x5h-senior-accountant-doctor-health-advertising-and-medical-supplies-company-giza-egypt,Full TimeOn-site,Doctor Health Advertising and Medical Supplies Company -,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · males_only · Accounting/Finance · Operations/Management · Pharmaceutical · Account Management · Strategic Planning · Communication · Problem Solving · CRM Software · Time Management · Negotiation,"Haram, Giza, Egypt "
Key Account Manager,https://wuzzuf.net/jobs/p/ifetlvkhbwkc-key-account-manager-euromisr-group-cairo-egypt,Full TimeOn-site,EUROMISR GROUP -,Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Account Management · Client Relationship Building · Business Development · Sales Negotiation · Time Management · Problem-Solving · Industry Knowledge (HVAC/Fire Fighting Equipment),"Heliopolis, Cairo, Egypt "
Marketing Specialist,https://wuzzuf.net/jobs/p/yvcyickcuecj-marketing-specialist-mazloum-cairo-egypt,Full TimeOn-site,Mazloum -,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Market Research · Social Media Management · Communication · Content Creation · Data Analysis,"Nasr City, Cairo, Egypt "
Digital Media Buyer,https://wuzzuf.net/jobs/p/7xrhh7xa7rwg-digital-media-buyer-squirrel-media-production-giza-egypt,Full TimeOn-site,squirrel media production -,Full TimeOn-siteExperienced · 3 - 4 Yrs of Exp · Marketing/PR/Advertising · Digital Media Buying · Campaign Optimization · Data Analysis · Budget Management · Reporting · Strategic Planning · Collaboration,"Mohandessin, Giza, Egypt "
Senior Cost Accountant (Manufacturing Industry),https://wuzzuf.net/jobs/p/7eq0lttcetyw-senior-cost-accountant-manufacturing-industry-selah-eltelmeez-for-publishing-printing-cairo-egypt,Full TimeOn-site,Selah ElTelmeez For Publishing & printing -,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Accounting/Finance · Accounting · analytical · Communication · Cost Accounting · ERP System · Finance · Financial Management · Cost · ERP,"Obour City, Cairo, Egypt "
Warehouse Manager,https://wuzzuf.net/jobs/p/bdlcnr2efbot-warehouse-manager-sharm-dreams-group-cairo-egypt,Full TimeOn-site,Sharm Dreams Group -,Full TimeOn-siteManager · 5+ Yrs of Exp · males_preferred · Logistics/Supply Chain · Operations/Management · Warehouse Management · Team Leadership · Inventory Control · Logistics Coordination · Process Improvement · Data Analysis · Communication · Time Management,"Manial, Cairo, Egypt "
Junior Accountant,https://wuzzuf.net/jobs/p/rpsu8ohnagey-junior-accountant-oworkers-cairo-egypt,Full TimeShift BasedOn-site,oworkers -,Full TimeShift BasedOn-siteEntry Level · 2 - 3 Yrs of Exp · Accounting/Finance · Administration · Accounting · Accounting Software · Data Entry · English · Finance · Financial Analysis · Microsoft Office · Oracle,"Maadi, Cairo, Egypt "
F B Cost Controller,https://wuzzuf.net/jobs/p/vf9yqijszkjw-f-b-cost-controller-sage-hospitality-cairo-egypt,Full TimeOn-site,SAGE Hospitality -,Full TimeOn-siteManager · 10 - 15 Yrs of Exp · Accounting/Finance · Hospitality/Hotels/Food Services · Cost Control · Financial Analysis · Data Reporting · Hospitality Operations · Inventory Management,"New Cairo, Cairo, Egypt "
Warehouse Supervisor (Shipping Company),https://wuzzuf.net/jobs/p/lqrvhyxh0lix-warehouse-supervisor-shipping-company-link-masr-cairo-egypt,Full TimeOn-site,Link-Masr  -,Full TimeOn-siteExperienced · 1 - 6 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Manufacturing/Production · Warehouse Management · Inventory Control · Team Leadership · Logistics Coordination · Time Management · Problem Solving · Process Improvement,"Obour City, Cairo, Egypt "
Purchasing Officer,https://wuzzuf.net/jobs/p/quyqrqykdmiu-purchasing-officer-actimed-factory-cairo-egypt,Full TimeOn-site,Actimed factory -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Purchasing/Procurement · Communication · Procurement · Time Management · Data Analysis,"Cairo, Egypt "
Supply Chain Director,https://wuzzuf.net/jobs/p/gtntricivbhk-supply-chain-director-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteSenior Management · 15+ Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Supply Chain Management · Procurement · Inventory Management · Vendor Management · Logistics · Data Analysis · Negotiation,"Cairo, Egypt "
Key Account Manager,https://wuzzuf.net/jobs/p/h9ie5g46cfqi-key-account-manager-cairo-egypt,Full TimeHybrid,Confidential -,Full TimeHybridExperienced · 2 - 7 Yrs of Exp · Customer Service/Support · Sales/Retail · Account Management · Client Relationship Management · Strategic Planning · Sales · Presentation Skills · Problem Solving · Communication · Negotiation,"New Cairo, Cairo, Egypt "
Senior Payroll and Personnel,https://wuzzuf.net/jobs/p/n91bde5r48uz-senior-payroll-and-personnel-delta-capital-for-urban-development-giza-egypt,Full TimeOn-site,Delta Capital for Urban Development -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Administration · Human Resources · Personnel Administration · Payroll Processing · Communication · HRIS Management · Data Analysis · Labor Law Compliance · Process Improvement,"Sheikh Zayed, Giza, Egypt "
Accountant,https://wuzzuf.net/jobs/p/zwjot8vstnmn-accountant-royal-fertilitys-center-dakahlia-egypt,Full TimeOn-site,Royal Fertility's Center -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Office Applications · Accounting · Data Analysis,"Dakahlia, Egypt "
Automotive Spare Parts Manager,https://wuzzuf.net/jobs/p/vfivs4x3nkop-automotive-spare-parts-manager-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Spare Parts Management · Inventory Control · ERP Systems · Communication · Data Analysis · Budget Management · Vendor Negotiation,"6th of October, Giza, Egypt "
